state,count,region,your_poss_top,yalls_poss_top,you_guys_poss_top,you_guyses_poss_top,your_guyses_poss_top,your_poss_bottom,yalls_poss_bottom,you_guys_poss_bottom,you_guyses_poss_bottom,your_guyses_poss_bottom
Alabama,2,the_south,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Alaska,1,the_west,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
British_Columbia,1,canada,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
California,6,the_west,6.0,0.0,0.0,0.0,6.0,0.0,3.0,3.0,0.0,0.0
Colorado,1,the_west,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Connecticut,1,the_east,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Idaho,1,the_west,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Illinois,16,the_north,13.0,1.0,5.0,2.0,11.0,0.0,9.0,0.0,5.0,2.0
Indiana,1,the_midland,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Iowa,1,the_midland,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Kansas,1,the_midland,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Louisiana,3,the_south,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0
Maine,1,the_east,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Manitoba,1,canada,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Maryland,2,the_east,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
Massachusetts,1,the_east,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Michigan,1,the_north,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Mississippi,1,the_south,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Nebraska,2,the_midland,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
New_Jersey,1,the_east,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
New_York,1,the_east,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
North_Carolina,1,the_south,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nova_Scotia,2,canada,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
Ohio,1,the_midland,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Ontario,10,canada,10.0,1.0,0.0,0.0,9.0,0.0,4.0,4.0,2.0,0.0
Pennsylvania,1,the_east,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Rhode_Island,1,the_east,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
South_Dakota,8,the_north,7.0,0.0,0.0,3.0,6.0,0.0,6.0,0.0,2.0,0.0
Tennessee,1,the_south,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas,3,the_south,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Utah,1,the_west,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Virginia,1,the_south,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Washington,27,the_west,22.0,2.0,2.0,3.0,25.0,0.0,4.0,16.0,7.0,0.0
Wisconsin,2,the_north,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
